Country Name,Cases,Deaths,Region,Total Recovered,New Deaths,New Cases,Serious/Critical,Active Cases,Total Cases per 1M Population
USA,"82,649,779","1,018,316",,"80,434,925",0,0,"1,465","1,196,538","247,080"
India,"43,057,545","522,193",,"42,519,479",0,0,698,"15,873","30,657"
Brazil,"30,345,654","662,663",,"29,364,400",0,0,"8,318","318,591","140,954"
France,"28,244,977","145,020",,"25,852,832",0,0,"1,677","2,247,125","430,996"
Germany,"24,109,433","134,624",,"21,243,000",0,0,"1,980","2,731,809","286,106"
UK,"21,933,206","173,352",,"20,782,350",0,0,339,"977,504","320,054"
Russia,"18,137,137","374,902",,"17,474,628",168,"8,446","2,300","287,607","124,187"
S. Korea,"16,895,194","22,133",,N/A,109,"64,725",726,N/A,"329,028"
Italy,"16,079,209","162,609",,"14,684,371",0,0,409,"1,232,229","266,648"
Turkey,"15,016,270","98,676",,"14,854,475",0,0,975,"63,119","174,654"
Spain,"11,786,036","103,908",,"11,261,340",0,0,339,"420,788","251,906"
Vietnam,"10,563,502","43,013",,"9,086,075",9,"8,813",612,"1,434,414","106,789"
Argentina,"9,060,923","128,344",,"8,895,999",0,0,412,"36,580","197,215"
Netherlands,"8,035,603","22,206",,"7,643,520",0,0,94,"369,877","467,096"
Japan,"7,621,562","29,284",,"7,135,403",27,"43,721",195,"456,875","60,596"
Iran,"7,216,040","140,975",,"6,966,954",13,528,"1,046","108,111","83,972"
Colombia,"6,091,094","139,771",,"5,924,433",0,0,342,"26,890","117,448"
Indonesia,"6,043,768","156,067",,"5,868,251",0,0,"2,771","19,450","21,682"
Poland,"5,991,197","115,948",,"5,334,375",0,344,"1,588","540,874","158,616"
Mexico,"5,733,514","324,117",,"5,033,892",57,802,"4,798","375,505","43,641"
Australia,"5,689,377","6,991",,"5,274,197",21,"34,769",135,"408,189","218,537"
Ukraine,"4,997,224","108,306",,N/A,0,0,177,N/A,"115,517"
Malaysia,"4,427,067","35,491",,"4,310,599",0,0,89,"80,977","133,690"
Thailand,"4,165,874","27,778",,"3,954,945",126,"17,784","1,496","183,151","59,414"
Austria,"4,104,859","18,047",,"3,989,860",12,"5,810",121,"96,952","451,125"
Israel,"4,054,342","10,658",,"4,009,152",0,0,220,"34,532","434,735"
Belgium,"4,015,791","31,319",,"3,726,457",0,0,169,"258,015","343,798"
Czechia,"3,895,544","40,081",,"3,838,099",5,911,43,"17,364","362,550"
Portugal,"3,791,744","22,162",,N/A,0,0,61,N/A,"373,827"
South Africa,"3,759,689","100,298",,"3,632,572",0,0,175,"26,819","61,981"
Canada,"3,695,585","38,777",,"3,426,082",0,0,426,"230,726","96,391"
Philippines,"3,684,500","60,182",,"3,610,658",3,205,289,"13,660","32,835"
Switzerland,"3,579,867","13,816",,"3,378,507",0,0,90,"187,544","408,247"
Peru,"3,559,343","212,724",,N/A,0,0,356,N/A,"105,303"
Chile,"3,544,463","57,375",,"3,368,772",0,0,286,"118,316","182,588"
Greece,"3,277,557","28,867",,"3,151,717",0,0,277,"96,973","317,250"
Denmark,"2,959,040","6,072",,"2,929,091",0,0,15,"23,877","507,639"
Romania,"2,888,318","65,427",,"2,606,660",6,494,216,"216,231","151,968"
Sweden,"2,498,388","18,656",,"2,464,421",0,0,19,"15,311","244,630"
Iraq,"2,324,141","25,204",,"2,295,947",0,0,20,"2,990","55,534"
Serbia,"2,001,144","15,953",,"1,967,786",0,0,25,"17,405","230,710"
Bangladesh,"1,952,532","29,127",,"1,893,131",0,0,"1,297","30,274","11,646"
Hungary,"1,890,953","46,048",,"1,776,617",0,0,45,"68,288","196,645"
Slovakia,"1,774,808","19,839",,"1,730,712",10,"1,155",88,"24,257","324,794"
Jordan,"1,694,216","14,048",,"1,678,941",0,0,124,"1,227","163,125"
Georgia,"1,654,255","16,800",,"1,635,791",3,92,0,"1,664","416,129"
Pakistan,"1,527,856","30,369",,"1,493,998",0,105,186,"3,489","6,683"
Ireland,"1,509,536","6,996",,"1,415,949",0,0,41,"86,591","299,669"
Norway,"1,423,509","2,871",,N/A,0,0,20,N/A,"258,925"
Kazakhstan,"1,305,457","13,660",,"1,290,988",0,10,24,809,"68,056"
Hong Kong,"1,201,431","9,236",,N/A,0,0,115,N/A,"157,942"
Singapore,"1,180,124","1,325",,"1,109,387",0,0,9,"69,412","198,895"
Morocco,"1,164,670","16,065",,"1,148,154",0,0,293,451,"30,893"
Bulgaria,"1,152,892","36,849",,"959,542",0,0,105,"156,501","168,206"
Croatia,"1,117,175","15,778",,"1,096,829",0,0,22,"4,568","275,195"
Cuba,"1,101,486","8,523",,"1,091,603",0,0,23,"1,360","97,355"
Lebanon,"1,096,320","10,374",,"1,079,455",0,0,186,"6,491","161,931"
Lithuania,"1,054,618","9,063",,"1,016,510",9,427,31,"29,045","397,407"
Tunisia,"1,039,532","28,533",,N/A,0,0,29,N/A,"86,327"
Slovenia,"1,003,970","6,576",,"980,501",0,0,30,"16,893","482,805"
Finland,"1,000,472","3,638",,"46,000",0,0,31,"950,834","180,062"
Nepal,"978,743","11,951",,"966,523",0,11,0,269,"32,535"
Belarus,"977,434","6,922",,"928,536",0,0,0,"41,976","103,501"
Bolivia,"904,377","21,908",,"855,123",1,83,220,"27,346","75,614"
UAE,"897,136","2,302",,"879,787",0,244,0,"15,047","88,772"
Uruguay,"895,775","7,197",,"886,654",0,0,18,"1,924","256,268"
New Zealand,"884,289",636,,"824,272",9,"5,714",0,"59,381","176,784"
Ecuador,"868,053","35,581",,N/A,0,0,759,N/A,"47,888"
Costa Rica,"847,784","8,383",,"829,515",0,0,43,"9,886","163,725"
Guatemala,"841,341","17,496",,"821,185",0,0,5,"2,660","45,444"
Latvia,"817,316","5,743",,"803,135",0,322,9,"8,438","442,135"
Azerbaijan,"792,476","9,707",,"782,634",0,0,0,135,"76,908"
Panama,"771,486","8,182",,"759,832",0,0,8,"3,472","173,862"
Saudi Arabia,"753,332","9,076",,"740,467",0,0,45,"3,789","21,047"
Sri Lanka,"663,131","16,502",,"642,574",0,0,0,"4,055","30,736"
Paraguay,"649,034","18,795",,"624,673",0,0,5,"5,566","89,022"
Kuwait,"631,294","2,555",,"627,899",0,0,8,840,"143,981"
Myanmar,"612,733","19,434",,"591,609",0,0,0,"1,690","11,127"
Palestine,"581,816","5,353",,"575,899",0,0,17,564,"109,459"
